entrez_id,node_idx,degree,gene_symbol,zstat_brca,p_brca,zstat_coca,p_coca,zstat_luca,p_luca,zstat_ovca,p_ovca,zstat_prca,p_prca
1755,2940,9,DMBT1,-0.6233,0.73345,2.2372,0.012638,1.1618,0.12266,0.21796,0.41373,0.24085,0.40484
1756,2941,64,DMD,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
1757,2942,21,SARDH,-0.15872,0.56306,0.057046,0.47725,0.94863,0.1714,0.75303,0.22572,0.23702,0.40632
1758,2943,16,DMP1,-0.59551,0.72425,-0.60692,0.72805,-0.45302,0.67473,0.30133,0.38158,-0.81372,0.7921
1759,2944,40,DNM1,0.59022,0.27752,0.13276,0.44719,0.11467,0.45436,-0.00015834,0.50006,-0.40488,0.65722
176,2945,59,ACAN,0.0083025,0.49669,1.5215,0.064068,0.092192,0.46327,-0.89995,0.81593,1.5728,0.057879
1760,2946,13,DMPK,1.4584,0.07236,0.66227,0.2539,-0.88795,0.81272,0.04181,0.48333,0.31014,0.37823
1761,2947,14,DMRT1,1.2795,0.10036,0.5211,0.30115,-0.49603,0.69006,1.9648,0.02472,0.41777,0.33806
1762,2948,6,DMWD,1.6921,0.045316,0.74061,0.22947,-0.63535,0.7374,0.34504,0.36503,0.30871,0.37877
1763,2949,96,DNA2,1.2745,0.10124,2.8494,0.0021904,0.28107,0.38933,-1.3682,0.91438,0.34652,0.36448
1767,2950,36,DNAH5,0.76438,0.22232,-0.092544,0.53687,1.1254,0.13022,0.072438,0.47113,0.71605,0.23698
1768,2951,5,DNAH6,-2.6926,0.99646,0.45231,0.32552,-0.50547,0.69338,0.2279,0.40986,0.58958,0.27774
1769,2952,16,DNAH8,-1.3135,0.9055,-0.97594,0.83545,-0.79751,0.78742,1.0317,0.15111,-0.42518,0.66465
177,2953,38,AGER,1.2691,0.10221,4.1669,1.544e-05,5.3817,3.689e-08,0.13443,0.44653,7.8064,2.9421e-15
1770,2954,11,DNAH9,-0.57418,0.71708,0.84485,0.1991,1.0196,0.15395,1.1273,0.12981,-0.65429,0.74354
1773,2955,1,DNASE1,-1.1847,0.88193,0.56506,0.28602,1.9186,0.027516,0.47142,0.31867,3.0263,0.0012379
1775,2956,7,DNASE1L2,0.26612,0.39507,-1.5309,0.9371,0.048992,0.48046,-0.37898,0.64765,-0.91808,0.82071
1777,2957,4,DNASE2,1.8983,0.028828,0.40652,0.34218,-0.10549,0.54201,1.3956,0.081421,1.7942,0.036391
1778,2958,66,DYNC1H1,0.12897,0.44869,2.1077,0.017529,-1.1811,0.88121,-0.98398,0.83744,0.76401,0.22243
178,2959,31,AGL,0.40726,0.34191,0.10727,0.45729,1.177,0.11959,-0.14435,0.55739,-0.60438,0.72721
1780,2960,49,DYNC1I1,0.90226,0.18346,1.4099,0.079281,-0.72276,0.76508,-0.092121,0.5367,1.1941,0.11622
1781,2961,58,DYNC1I2,0.56525,0.28595,1.7411,0.040834,0.73327,0.2317,0.46543,0.32081,1.8171,0.034603
1783,2962,39,DYNC1LI2,0.10591,0.45783,1.6709,0.047369,0.35784,0.36023,3.6508,0.00013069,1.2645,0.10303
1785,2963,52,DNM2,0.37426,0.35411,3.7497,8.852e-05,0.19261,0.42363,1.4974,0.067146,-0.14101,0.55607
1786,2964,128,DNMT1,0.14608,0.44193,1.9767,0.024039,-1.023,0.84685,0.79757,0.21256,1.2397,0.10754
1787,2965,12,TRDMT1,0.19705,0.42189,0.012074,0.49518,-0.060129,0.52397,1.2591,0.10401,1.4078,0.079598
1788,2966,97,DNMT3A,5.3571,4.2285e-08,3.0758,0.0010496,-2.0218,0.9784,2.8493,0.0021908,1.07,0.1423
1789,2967,90,DNMT3B,2.1163,0.017159,1.6405,0.050449,1.421,0.077662,0.051447,0.47948,6.1135,4.8724e-10
1791,2968,27,DNTT,-0.16569,0.5658,0.19263,0.42362,1.282,0.099927,0.6465,0.25898,0.20557,0.41856
1793,2969,53,DOCK1,0.80509,0.21038,-0.24141,0.59538,-1.7851,0.96288,-2.0547,0.98005,3.2824,0.0005147
1794,2970,17,DOCK2,1.8305,0.033585,0.78043,0.21757,2.3102,0.010439,1.7211,0.042612,1.0772,0.14069
